All Quarterbacks NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Sanchez, Mark QB NYJ ",Free Agent,TB,10,169.0,100.7,1007.3,6.3,6.3,73.5,14.3,42.0,2.9,0.3,0,0,0,0.0,0,2.0,54.40
"Foles, Nick QB PHI ",Free Agent,@WAS,12,121.0,76.3,838.3,5.0,2.3,89.4,7.0,24.7,3.5,0,0,0,0,0.0,0,0.7,48
"Barkley, Matt QB PHI ",Free Agent,@WAS,12,107.3,68.0,757.3,4.3,2.3,88.7,4.0,13.3,3.3,0,0,0,0,0.0,0,1.0,41.60
"Cousins, Kirk QB WAS ",Free Agent,PHI,5,62.3,39.0,457.3,3.0,1.7,89.5,4.0,14.3,3.6,0,0,0,0,0.0,0,0,23.60
"Campbell, Jason QB CLE ",Free Agent,MIA,10,89.0,55.7,529.3,2.0,1.7,78.5,6.3,34.0,5.4,0,0,0,0,0.0,0,0.3,23
"Fitzpatrick, Ryan QB TEN",Free Agent,@PIT,8,63.3,38.7,377.0,3.0,1.7,82.5,2.7,8.3,3.1,0.3,0,0,0,0.0,0,0.7,22
"Pryor, Terrelle QB OAK ",Free Agent,@IND,7,47.7,30.7,272.3,2.0,1.7,78.6,9.3,50.3,5.4,0.3,0,0,0,0.0,0,0.7,14
"Gradkowski, Bruce QB PIT",Free Agent,TEN,5,36.7,22.3,257.3,1.0,1.0,79.7,2.7,6.3,2.3,0,0,0,0,0.0,0,0.3,6.40
"Wilson, Tyler QB OAK ",Free Agent,@IND,7,40.3,23.3,250.0,1.0,1.0,74.0,2.0,6.3,3.1,0,0,0,0,0.0,0,0.3,6.40
"Cassel, Matt QB MIN ",Free Agent,@DET,5,28.3,18.7,159.3,1.3,1.3,76.8,3.7,9.3,2.5,0,0,0,0,0.0,0,0.3,5
"Harrell, Graham QB GB",Free Agent,@SF,4,9.3,6.0,63.0,0.7,0,109.2,1.0,4.0,4.0,0,0,0,0,0.0,0,0,4.80
"Stanton, Drew QB ARI",Free Agent,@STL,9,18.7,12.7,117.0,0.7,0.3,90.5,0.7,2.3,3.3,0,0,0,0,0.0,0,0.3,4.60
"Whitehurst, Charlie QB SD",Free Agent,HOU,8,20.0,11.0,117.3,0.7,0.7,69.4,0,0,0.0,0,0,0,0,0.0,0,0,4.40
"Taylor, Tyrod QB BAL",Free Agent,@DEN,8,15.0,9.3,105.3,0.3,0,89.7,3.7,17.3,4.7,0,0,0,0,0.0,0,0,4.20
"Dixon, Dennis QB PHI",Free Agent,@WAS,12,7.7,5.0,37.3,0.3,0,89.4,3.7,21.7,5.9,0,0,0,0,0.0,0,0,4.20
"Hoyer, Brian QB CLE ",Free Agent,MIA,10,5.0,3.0,38.3,0.3,0,104.0,1.0,3.7,3.7,0,0,0,0,0.0,0,0,3.20
"Mallett, Ryan QB NE",Free Agent,@BUF,10,3.7,2.3,22.7,0.3,0,106.5,0,0,0.0,0,0,0,0,0.0,0,0,3.20
"Hill, Shaun QB DET",Free Agent,MIN,9,5.0,3.0,25.3,0.3,0,93.2,0.7,0.7,1.0,0,0,0,0,0.0,0,0,3.20
"Orton, Kyle QB DAL",Free Agent,NYG,11,5.0,3.3,26.0,0.3,0,98.8,0.7,0.7,1.0,0,0,0,0,0.0,0,0,3.20
"Osweiler, Brock QB DEN",Free Agent,BAL,9,12.7,8.3,89.0,0.3,0,93.6,2.0,3.7,1.9,0,0,0,0,0.0,0,0,3.20
"Painter, Curtis QB NYG",Free Agent,@DAL,9,5.7,3.3,34.0,0,0,75.2,1.0,4.7,4.7,0,0,0,0,0.0,0,0,2
"McCown, Josh QB CHI",Free Agent,CIN,8,17.0,9.3,100.3,0.3,0.7,61.0,2.0,8.7,4.3,0,0,0,0,0.0,0,0.3,1.20
"Carr, David QB NYG",Free Agent,@DAL,9,1.7,1.0,7.7,0,0,70.0,0,0,0.0,0,0,0,0,0.0,0,0,1
"Corp, Aaron QB MIA",Free Agent,@CLE,6,0,0,0.7,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,1
"Orlovsky, Dan QB TB",Free Agent,@NYJ,5,1.3,0.7,6.7,0,0,68.4,0.7,0.7,1.0,0,0,0,0,0.0,0,0,1
"Yates, T.J. QB HOU",Free Agent,@SD,8,13.7,8.0,74.3,0.3,0.7,59.4,2.7,9.3,3.4,0,0,0,0,0.0,0,0.7,0.40
"Gray, MarQueis QB SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Stanley, Nathan QB BAL",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Tanney, Alex QB DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Grossman, Rex QB WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Portis, Josh QB SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Anderson, Derek QB CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Davis, Dominique QB ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Davis, Austin QB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jackson, Tarvaris QB SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Bomar, Rhett QB OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Harnish, Chandler QB IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Sorensen, Brad QB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Archer, R.J. QB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Wallace, Seneca QB NO",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Tuel, Jeff QB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Crompton, Jonathan QB WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Brandstater, Tom QB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Renfree, Sean QB ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Glennon, Mike QB TB ",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Skelton, John QB CIN ",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Bray, Tyler QB KC ",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
