All Tight Ends NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Brockel, Richie TE CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,1.3,3.7,2.8,0,0,1.7,12.7,7.5,0.3,0,3.50
"Smith, Hayden TE NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,2.3,29.0,12.6,0,0,3.30
"Hartsock, Ben TE CAR ",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,17.0,10.0,0,0,2.70
"Dray, Jim TE ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,21.7,12.8,0,0,2.70
"McNeill, Mike TE STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,2.0,14.0,7.0,0,0,2
"Caussin, Mike TE BUF ",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,12.0,7.1,0,0,1.70
"Taylor, Ryan TE GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,1.7,13.7,8.1,0,0,1.70
"Adams, Kyle TE CHI",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,13.3,10.2,0,0,1.30
"Gronkowski, Dan TE CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,7.0,7.0,0,0,1
"Byham, Nate TE TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,5.0,5.0,0,0,1
"Sperry, Kory TE ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,11.7,16.7,0,0,0.70
"Onobun, Fendi TE CHI",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,3.3,4.7,0,0,0.70
"Cochart, Colin TE DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,7.3,10.4,0,0,0.70
"Pianalto, Zack TE PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0.7,6.7,9.6,0,0,0.70
"Shuler, Mickey TE ARI ",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,5.0,16.7,0,0,0.30
"Smelley, Brad TE CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,1.0,3.3,0,0,0.30
"Brock, Kevin TE KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,4.7,15.7,0,0,0.30
"Stanback, Isaiah TE JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,2.0,6.7,0,0,0.30
"Gallarda, Tommy TE ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,2.3,7.7,0,0,0.30
"Clark, Dallas TE TB",Just Won Baby,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Veldman, Matt TE DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Schiltz, Adam TE HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Gottlieb, Alex TE ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Byrne, Jake TE HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Harris, Clark TE CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Mastrud, Jeron TE OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Leach, Mike TE ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Rolf, David TE SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Graham, Daniel TE NO",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Marshall, Victor TE SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Otten, Ryan TE JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Stoneburner, Jake TE GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
