All Running Backs NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Dixon, Anthony RB SF",Free Agent,GB,9,0,0,0,0,0,0.0,18.3,71.0,3.9,1.3,0,1.7,10.7,6.3,0,0,12.50
"Owens, Montell RB DET ",Free Agent,MIN,9,0,0,0,0,0,0.0,13.0,60.7,4.7,0.3,0,5.3,34.3,6.5,0.3,0.3,11.30
"Rodriguez, Evan RB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,4.7,19.7,4.2,0,0,7.0,68.3,9.8,0,0,11
"Starks, James RB GB ",Free Agent,@SF,4,0,0,0,0,0,0.0,19.0,88.7,4.7,0.3,0,2.3,19.3,8.4,0.3,0,10.90
"Ball, Lance RB DEN",Free Agent,BAL,9,0,0,0,0,0,0.0,18.0,74.3,4.1,0.3,0,3.7,30.7,8.3,0.3,0.3,10.70
"Havili, Stanley RB IND",Free Agent,OAK,8,0,0,0,0,0,0.0,3.0,12.3,4.1,0.7,0,5.0,31.7,6.3,0,0,10.20
"Torain, Ryan RB NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,15.7,66.7,4.2,0.3,0,3.7,22.3,6.0,0,0,9.50
"Felton, Jerome RB MIN",Free Agent,@DET,5,0,0,0,0,0,0.0,7.0,24.3,3.5,0.3,0,5.7,41.7,7.3,0,0,9.50
"Hillis, Peyton RB TB ",Free Agent,@NYJ,5,0,0,0,0,0,0.0,21.0,79.3,3.8,0.7,0,2.0,10.7,5.3,0,0,9.20
"Choice, Tashard RB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,27.0,110.3,4.1,0.3,0,3.7,24.0,6.5,0,0.7,9.10
"McClain, Le'Ron RB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,13.3,47.0,3.5,0.3,0,5.3,29.3,5.5,0,0,9.10
"Williams, Keiland RB WAS ",Free Agent,PHI,5,0,0,0,0,0,0.0,10.7,44.3,4.1,0.3,0,3.7,32.7,8.8,0.3,0.3,8.70
"Benson, Cedric RB GB",Free Agent,@SF,4,0,0,0,0,0,0.0,21.7,83.7,3.9,0.3,0,3.0,20.0,6.7,0,0.7,8.40
"Young, Darrel RB WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,9.7,41.0,4.2,0.3,0,3.7,33.0,8.9,0,0,7.50
"Polk, Chris RB PHI ",Free Agent,@WAS,12,0,0,0,0,0,0.0,21.0,93.3,4.4,0.3,0,1.7,11.3,6.6,0,0,7.50
"D'Imperio, Ryan RB NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,4.0,15.7,3.9,0,0,5.3,48.7,9.2,0,0,7.30
"Dickerson, Dorin RB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,1.0,4.7,4.7,0,0,5.3,52.7,9.9,0,0,7.30
"Scott, Da'Rel RB NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,14.7,62.0,4.2,0.3,0,2.3,17.7,7.7,0,0,7.10
"Miller, Bruce RB SF",Free Agent,GB,9,0,0,0,0,0,0.0,3.3,12.7,3.8,0,0,6.0,42.3,7.0,0,0,7
"McGahee, Willis RB DEN",The Pluggers,BAL,9,0,0,0,0,0,0.0,25.7,110.7,4.3,0,0,2.7,15.7,5.8,0,0,6.70
"Ware, D.J. RB TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,5.0,25.3,5.1,0,0,4.7,44.0,9.4,0,0,6.70
"Harper, Jamie RB TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,7.3,33.0,4.5,0.7,0,1.0,7.3,7.3,0,0,6.20
"Jones, Felix RB PHI ",McLovin,@WAS,12,0,0,0,0,0,0.0,17.0,69.3,4.1,0.3,0,1.3,7.3,5.6,0,0,6.10
"Allen, Anthony RB BAL",Free Agent,@DEN,8,0,0,0,0,0,0.0,15.0,64.0,4.3,0.3,0,1.3,10.7,8.2,0,0,6.10
"Ganaway, Terrance RB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,12.0,54.3,4.5,0.3,0,2.0,13.7,6.8,0,0,5.80
"Stewart, Jeremy RB OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,8.3,36.3,4.4,0,0,3.7,28.0,7.6,0,0,5.70
"Batch, Baron RB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,10.3,49.7,4.8,0.3,0,1.7,10.3,6.1,0,0,5.50
"Gray, Cyrus RB KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,9.0,49.3,5.5,0.3,0,1.7,14.7,8.6,0,0,5.50
"Johnson, Quinn RB TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,3.7,12.3,3.3,0,0,4.0,32.0,8.0,0,0,5
"Vickers, Lawrence RB DAL ",Free Agent,NYG,11,0,0,0,0,0,0.0,3.3,11.0,3.3,0,0,4.0,31.0,7.8,0,0,5
"Thigpen, Marcus RB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,10.7,52.0,4.9,0,0,2.3,19.0,8.3,0,0.3,4.70
"Sherman, Anthony RB KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,1.7,6.7,3.9,0,0,3.3,22.7,6.9,0,0,4.30
"Reynaud, Darius RB TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,1.3,6.3,4.8,0,0,3.3,33.3,10.1,0,0,4.30
"Pressley, Chris RB CIN ",Free Agent,@CHI,12,0,0,0,0,0,0.0,3.7,14.3,3.9,0.3,0,2.0,13.0,6.5,0,0,3.80
"Johnson, David RB PIT ",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,2.7,21.3,7.9,0,0,3.70
"Thompson, Chris RB WAS ",Free Agent,PHI,5,0,0,0,0,0,0.0,7.7,35.0,4.5,0,0,2.3,14.7,6.4,0,0,3.30
